source_file,row_id,context,plausible,implausible,fewshot_k,logprob_pos,logprob_neg,delta
spatial-relations_left_right.csv,0,The baseball is to the right of the candle.,The candle is to the left of the baseball.,The candle is to the right of the baseball.,0,-20.988525390625,-22.0440673828125,1.0555419921875
spatial-relations_left_right.csv,1,The baseball is to the left of the candle.,The candle is to the right of the baseball.,The candle is to the left of the baseball.,0,-18.54205322265625,-19.2520751953125,0.71002197265625
spatial-relations_left_right.csv,2,The wheel is to the right of Chao. Chao turns around.,The wheel is to the left of Chao.,The wheel is to the right of Chao.,0,-13.12750244140625,-13.66375732421875,0.5362548828125
spatial-relations_left_right.csv,3,The wheel is to the left of Chao. Chao turns around.,The wheel is to the right of Chao.,The wheel is to the left of Chao.,0,-13.007354736328125,-13.1827392578125,0.175384521484375
spatial-relations_left_right.csv,4,The bed is next to the right side of the volleyball.,The bed is to the right of the volleyball.,The volleyball is to the right of the bed.,0,-22.78021240234375,-24.0164794921875,1.23626708984375
spatial-relations_left_right.csv,5,The bed is next to the left side of the volleyball.,The volleyball is to the right of the bed.,The bed is to the right of the volleyball.,0,-23.2750244140625,-22.4884033203125,-0.78662109375
spatial-relations_left_right.csv,6,The baseball is next to the right side of the candle.,The candle is to the left of the baseball.,The candle is to the right of the baseball.,0,-27.5185546875,-28.1507568359375,0.6322021484375
spatial-relations_left_right.csv,7,The baseball is next to the left side of the candle.,The candle is to the right of the baseball.,The candle is to the left of the baseball.,0,-27.365234375,-26.5731201171875,-0.7921142578125
spatial-relations_left_right.csv,8,"The hospital is in front of Li, and the hotel is behind. Li turns right.",The hospital is to the left of Li.,The hospital is to the right of Li.,0,-22.30615234375,-22.853515625,0.54736328125
spatial-relations_left_right.csv,9,"The hotel is in front of Li, and the hospital is behind. Li turns right.",The hospital is to the right of Li.,The hospital is to the left of Li.,0,-23.865234375,-23.3583984375,-0.5068359375
spatial-relations_left_right.csv,10,The candle is in front of Ali. Ali turns right.,The candle is to the left of Ali.,The candle is to the right of Ali.,0,-20.3035888671875,-20.4517822265625,0.148193359375
spatial-relations_left_right.csv,11,The candle is in front of Ali. Ali turns left.,The candle is to the right of Ali.,The candle is to the left of Ali.,0,-20.586181640625,-20.0201416015625,-0.5660400390625
spatial-relations_left_right.csv,12,The baseball is next to the right side of the candle.,The candle is to the left of the baseball.,The baseball is to the left of the candle.,0,-27.5185546875,-20.382080078125,-7.136474609375
spatial-relations_left_right.csv,13,The baseball is next to the left side of the candle.,The baseball is to the left of the candle.,The candle is to the left of the baseball.,0,-21.17108154296875,-26.5731201171875,5.40203857421875
spatial-relations_left_right.csv,14,The sandwich is to the right of the truck.,The truck is to the left of the sandwich.,The truck is to the right of the sandwich.,0,-19.467071533203125,-20.979034423828125,1.511962890625
spatial-relations_left_right.csv,15,The sandwich is to the left of the truck.,The truck is to the right of the sandwich.,The truck is to the left of the sandwich.,0,-18.1207275390625,-20.119140625,1.9984130859375
spatial-relations_left_right.csv,16,"The shop is in front of Chao, and the zoo is behind. Chao turns right.",The shop is to the left of Chao.,The shop is to the right of Chao.,0,-24.3603515625,-24.5,0.1396484375
spatial-relations_left_right.csv,17,"The zoo is in front of Chao, and the shop is behind. Chao turns right.",The shop is to the right of Chao.,The shop is to the left of Chao.,0,-24.3145751953125,-24.3741455078125,0.0595703125
spatial-relations_left_right.csv,18,"The museum is in front of Mohammed, and the gallery is behind. Mohammed turns left.",The gallery is to the left of Mohammed.,The gallery is to the right of Mohammed.,0,-25.50390625,-26.1630859375,0.6591796875
